Date,Total_Deliveries,Total_Delivery_Fees
27-10-2024,33,200
28-10-2024,23,140
29-10-2024,27,190
30-10-2024,24,170
31-10-2024,26,90
01-11-2024,23,140
02-11-2024,27,160
03-11-2024,34,240
04-11-2024,31,290
05-11-2024,17,130
06-11-2024,21,190
07-11-2024,26,70
08-11-2024,24,110
09-11-2024,29,220
10-11-2024,21,170
11-11-2024,27,140
12-11-2024,28,200
13-11-2024,14,90
14-11-2024,20,90
15-11-2024,19,40
16-11-2024,33,280
17-11-2024,30,180
18-11-2024,25,140
19-11-2024,25,180
20-11-2024,30,200
21-11-2024,22,170
22-11-2024,26,140
23-11-2024,37,220
24-11-2024,34,190
25-11-2024,33,220
26-11-2024,14,70
27-11-2024,31,230
28-11-2024,35,250
29-11-2024,24,130
30-11-2024,29,190
01-12-2024,30,210
02-12-2024,24,80
03-12-2024,31,230
04-12-2024,29,230
05-12-2024,23,100
06-12-2024,27,270
07-12-2024,31,180
08-12-2024,30,170
09-12-2024,36,250
10-12-2024,25,170
11-12-2024,20,110
12-12-2024,26,230
13-12-2024,27,150
14-12-2024,31,150
15-12-2024,23,140
16-12-2024,22,140
17-12-2024,31,130
18-12-2024,27,160
19-12-2024,31,210
20-12-2024,23,130
21-12-2024,31,190
22-12-2024,25,160
23-12-2024,22,130
24-12-2024,25,140
25-12-2024,19,150
